Disease,Medication
Fungal infection,"[""Antifungal Cream [age:1-10]"", ""Fluconazole [age:11-30]"", ""Terbinafine [age:31-60]"", ""Clotrimazole, Ketoconazole [age:61-99]""]"
Allergy,"['Antihistamines age:1-10', 'Decongestants, Immunotherapy age:11-30', 'Corticosteroids age:31-60', 'Immunotherapy, Corticosteroids age:61-99']	"
GERD,"['Proton Pump Inhibitors (PPIs) age:1-10', 'H2 Blockers age:11-30', 'Antacids age:31-60', 'Prokinetics age:61-99']"
Chronic cholestasis,"['Ursodeoxycholic acid age:1-10', 'Cholestyramine age:11-30', 'Methotrexate age:31-60', 'Corticosteroids age:61-99']"
Drug Reaction,"['Antihistamines age:1-10', 'Epinephrine age:11-30', 'Corticosteroids age:31-60', 'Antibiotics age:61-99']"
Peptic ulcer disease,"['Antibiotics age:1-10', 'Proton Pump Inhibitors (PPIs) age:11-30', 'H2 Blockers age:31-60', 'Cytoprotective agents age:61-99']"
AIDS,"['Antiretroviral drugs age:1-10', 'Protease inhibitors age:11-30', 'Integrase inhibitors age:31-60', 'Fusion inhibitors age:61-99']"
Diabetes,"['Insulin age:1-10', 'Metformin age:11-30', 'Sulfonylureas age:31-60', 'GLP-1 receptor agonists age:61-99']"
Gastroenteritis,"['Antibiotics age:1-10', 'Antiemetic drugs age:11-30', 'Antidiarrheal drugs age:31-60', 'IV fluids age:61-99']"
Bronchial Asthma,"['Bronchodilators age:1-10', 'Inhaled corticosteroids age:11-30', 'Leukotriene modifiers age:31-60', 'Anticholinergics age:61-99']"
Hypertension,"['Antihypertensive medications age:1-10', 'Diuretics age:11-30', 'Beta-blockers age:31-60', 'Calcium channel blockers age:61-99']"
Migraine,"['Analgesics age:1-10', 'Triptans age:11-30', 'Ergotamine derivatives age:31-60', 'Preventive medications age:61-99']"
Cervical spondylosis,"['Pain relievers age:1-10', 'Muscle relaxants age:11-30', 'Physical therapy age:31-60', 'Neck braces age:61-99']"
Paralysis (brain hemorrhage),"['Blood thinners age:1-10', 'Clot-dissolving medications age:11-30', 'Anticonvulsants age:31-60', 'Occupational therapy age:61-99']"
Jaundice,"['IV fluids age:1-10', 'Blood transfusions age:11-30', 'Liver transplant age:31-60', 'Antiviral medications age:61-99']"
Malaria,"['IV fluids age:1-10', 'Blood transfusions age:11-30', 'Liver transplant age:31-60', 'Antiviral medications age:61-99']"
Chicken pox,"['Antimalarial drugs age:1-10', 'Antipyretics age:11-30', 'Antiemetic drugs age:31-60', 'Blood transfusions age:61-99']"
Dengue,"['Antiviral drugs age:1-10', 'Pain relievers age:11-30', 'IV fluids age:31-60', 'Platelet transfusions age:61-99']"
Typhoid,"['Antibiotics age:1-10', 'Antipyretics age:11-30', 'Analgesics age:31-60', 'Corticosteroids age:61-99']"
hepatitis A,"['Vaccination age:1-10', 'Antiviral drugs age:11-30', 'IV fluids age:31-60', 'Liver transplant age:61-99']"
Hepatitis B,"['Antiviral drugs age:1-10', 'IV fluids age:11-30', 'Blood transfusions age:31-60', 'Liver transplant age:61-99']"
Hepatitis C,"['Antiviral drugs age:1-10', 'IV fluids age:11-30', 'Blood transfusions age:31-60', 'Liver transplant age:61-99']"
Hepatitis D,"['Antiviral drugs age:1-10', 'IV fluids age:11-30', 'Blood transfusions age:31-60', 'Liver transplant age:61-99']"
Hepatitis E,"['Antiviral drugs age:1-10', 'IV fluids age:11-30', 'Blood transfusions age:31-60', 'Liver transplant age:61-99']"
Alcoholic hepatitis,"['Alcohol cessation age:1-10', 'Corticosteroids age:11-30', 'IV fluids age:31-60', 'Liver transplant age:61-99']"
Tuberculosis,"['Antipyretics age:1-10', 'Decongestants age:11-30', 'Cough suppressants age:31-60', 'Antihistamines age:61-99']"
Common Cold,"['Antibiotics age:1-10', 'Antiviral drugs age:11-30', 'Antifungal drugs age:31-60', 'Oxygen therapy age:61-99']"
Pneumonia,"['Laxatives age:1-10', 'Pain relievers age:11-30', 'Warm baths age:31-60', 'High-fiber diet age:61-99']"
Dimorphic hemmorhoids(piles),"['Nitroglycerin age:1-10', 'Aspirin age:11-30', 'Beta-blockers age:31-60', 'Thrombolytic drugs age:61-99']"
Heart attack,"['Compression stockings age:1-10', 'Exercise age:11-30', 'Elevating the legs age:31-60', 'Laser treatments age:61-99']"
Varicose veins,"['Levothyroxine age:1-10', 'Antithyroid medications age:11-30', 'Beta-blockers age:31-60', 'Thyroid surgery age:61-99']"
Hypothyroidism,"['Antithyroid medications age:1-10', 'Radioactive iodine age:11-30', 'Thyroid surgery age:31-60', 'Corticosteroids age:61-99']"
Hyperthyroidism,"['Glucose tablets age:1-10', 'Candy or juice age:11-30', 'Glucagon injection age:31-60', 'Diazoxide age:61-99']"
Hypoglycemia,"['Pain relievers age:1-10', 'Exercise age:11-30', 'Hot and cold packs age:31-60', 'Physical therapy age:61-99']"
Osteoarthristis,"['NSAIDs age:1-10', 'Disease-modifying antirheumatic drugs (DMARDs) age:11-30', 'Biologics age:31-60', 'Joint replacement surgery age:61-99']"
Arthritis,"['Vestibular rehabilitation age:1-10', 'Canalith repositioning age:11-30', 'Medications for nausea age:31-60', 'Surgery age:61-99']"
(vertigo) Paroymsal Positional Vertigo,"['Vestibular rehabilitation age:1-10', 'Canalith repositioning age:11-30', 'Medications for nausea age:31-60', 'Surgery age:61-99']"
Acne,"['Antibiotics age:1-10', 'Pain relievers age:11-30', 'Antihistamines age:31-60', 'Topical treatments age:61-99']"
Urinary tract infection,"['Antibiotics age:1-10', 'Urinary analgesics age:11-30', 'Phenazopyridine age:31-60', 'Probiotics age:61-99']"
Psoriasis,"['Topical treatments age:1-10', 'Phototherapy age:11-30', 'Systemic medications age:31-60', 'Coal tar age:61-99']"
Impetigo,"['Topical antibiotics age:1-10', 'Oral antibiotics age:11-30', 'Antiseptics age:31-60', 'Warm compresses age:61-99']"
